,pos,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,twoP_per,blk_per,stl_per,porpag,adjoe,mp,ogbpm,dgbpm,pts,season,ast/tov,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,gbpm,score
1225,C,2012,alex len,98.6,55.3,56.54,8.8,20.0,0.559,10.0,0.5,0.92977,98.5661,21.1818,-0.869039,3.13235,5.9545,4,0.39393334,0.7451,99.3619,2.30492,99.3874,2.26331,31.727078891258
1226,C,2013,alex len,112.7,53.5,56.97,13.2,19.3,0.544,8.0,0.5,3.0538,118.663,26.4211,3.33837,2.79123,11.8947,3,0.61669517,0.7299,91.861,3.41733,214.642,6.1296,31.727078891258
1803,C,2012,andre drummond,100.7,53.8,50.93,14.2,15.5,0.541,9.9,1.8,2.01686,106.362,28.4412,1.78075,2.5491,10.0,4,0.28847914,0.7027,95.5401,3.4961,200.006,4.32984,58.73489694385218
2055,C,2010,andrew nicholson,112.5,56.1,59.67,9.1,17.9,0.561,6.6,0.4,3.72714,121.2,30.2759,3.05449,0.0396227,16.3103,3,0.25927716,0.7425,101.019,2.81462,169.169,3.09411,27.377398720682304
2295,C,2012,anthony davis,133.8,62.8,65.41,11.6,23.9,0.653,13.7,2.5,5.9035,138.825,32.025,9.09614,7.56117,14.175,4,1.21951222,0.8736,79.63,5.62176,360.572,16.6573,93.12011371712865
4420,C,2019,brandon clarke,134.3,69.3,69.89,13.9,19.7,0.705,10.8,2.3,5.59328,144.86,28.0811,9.47452,5.87777,16.9459,2,1.21058094,0.7967,83.897,4.70079,276.59,15.3523,79.53091684434969
4422,C,2016,brandon clarke,117.1,62.5,61.93,9.8,16.7,0.64,5.9,1.8,2.12822,113.782,23.8214,3.67813,2.1089,8.75,4,1.3000746,0.7708,102.181,2.31056,137.088,5.78703,79.53091684434969
6987,C,2016,cheick diallo,98.3,56.9,57.18,10.4,27.2,0.569,11.9,2.0,0.451682,105.641,7.4815,-1.86017,4.91143,3.0,4,0.05876747,0.7391,84.8946,1.25247,57.154,3.05126,
8301,C,2013,cody zeller,119.4,56.2,62.26,12.4,18.7,0.565,4.4,2.1,5.23894,136.731,29.5278,6.89924,3.10171,16.5,3,0.58026669,0.6261,88.1328,4.30792,237.616,10.0009,46.01279317697228
8302,C,2012,cody zeller,127.0,62.3,66.45,11.3,16.8,0.623,4.3,2.9,5.39068,140.263,28.4722,7.89301,3.05051,15.6389,4,0.749985,0.7087,94.7906,3.61699,222.304,10.9435,46.01279317697228
8320,C,2010,cole aldrich,116.9,56.2,59.61,13.6,25.4,0.562,13.0,1.6,3.38383,122.431,26.75,4.74326,5.24154,11.2778,2,0.55354846,0.7302,82.6828,4.50588,264.514,9.9848,42.57285003553661
9287,C,2016,damian jones,106.8,59.0,58.45,9.9,17.3,0.595,5.9,0.5,2.96524,120.73,26.2424,2.73371,2.72329,13.8788,2,0.58460679,0.731,94.8238,3.50456,177.996,5.45701,27.32054015636105
9288,C,2015,damian jones,103.6,55.4,57.39,9.7,16.5,0.558,7.3,1.2,2.90695,116.363,29.1429,2.01529,1.09852,14.4,3,0.3421295,0.6667,97.8264,3.2313,191.226,3.11381,27.32054015636105
